租房名称,面积,朝向,户型,楼层比例,位置,小区年代,价格
自如友家·锦秋路1188弄·3居室-03卧,3室1厅,朝南,13.1㎡,2/5,小区距上海大学站步行约422米,2003,2030
自如友家·宝宸怡景园·4居室-05卧,4室1厅,朝南,15.6㎡,2/18,小区距通河新村站步行约816米,板楼,2730
自如友家·盛世馨园·4居室-05卧,4室1厅,朝南,11.4㎡,4/6,小区距大场镇站步行约1119米,未知,2390
自如友家·古美三村·3居室-01卧,3室1厅,朝南,15.1㎡,2/6,小区距顾戴路站步行约1406米,板楼,2530
自如友家·由由六村·4居室-01卧,4室2厅,朝南,14.11㎡,6/6,小区距杨高南路站步行约569米,2000,2790
自如友家·上大阳光乾恩园·4居室-05卧,4室1厅,朝南,16.1㎡,3/6,小区距上大路站步行约1103米,未知,2360
自如友家·芳雅苑·3居室-01卧,3室1厅,朝南,13.9㎡,2/7,小区距龙阳路站步行约1348米,1998,2690
自如友家·康桥水都(公寓)·4居室-01卧,4室1厅,朝南,12.5㎡,4/6,小区距共富新村站步行约987米,未知,2360
自如友家·大华锦绣华城(十九街区)(公寓)·4居室-03卧,4室1厅,朝南,9.5㎡,2/6,小区距下南路站步行约326米,2003,2260
自如友家·恒安小区·2居室-01卧,2室1厅,朝南,10.3㎡,6/6,小区距彭浦新村站步行约1403米,板楼,2490
自如友家·宝启公寓·3居室-02卧,3室1厅,朝南,14.5㎡,5/6,小区距宝安公路站步行约183米,板楼,2090
自如友家·甘泉公寓·3居室-01卧,3室1厅,朝南,16.03㎡,15/20,小区距新村路站步行约303米,1991,3090
自如友家·金沙雅苑(一期)·3居室-03卧,3室1厅,朝南,13㎡,4/7,小区距祁连山南路站步行约392米,板楼,2890
自如友家·凯利大楼·4居室-05卧,4室1厅,朝南,13㎡,6/18,小区距春申路站步行约485米,未知,2160
自如友家·佘山假日半岛·3居室-03卧,3室1厅,朝南,13.8㎡,8/11,小区距洞泾站步行约134米,2011,1990
自如友家·中星张杨苑·3居室-03卧,3室1厅,朝南,14㎡,6/6,小区距民生路站步行约292米,2002,3060
自如友家·证大家园(一期)·3居室-02卧,3室1厅,朝南,8.5㎡,3/11,小区距杨高北路站步行约112米,板楼,2460
自如友家·武宁路200弄·3居室-01卧,3室1厅,朝南,11.75㎡,6/7,小区距曹杨路站步行约425米,1996,2890
自如友家·虹桥高登花园·3居室-01卧,3室1厅,朝南,13.1㎡,6/6,小区距上海动物园站步行约1259米,板楼,2430
自如友家·明昌公寓·3居室-02卧,3室1厅,朝南,12.6㎡,7/24,小区距江浦公园站步行约385米,塔楼,2690
自如友家·一品漫城(一期)(公寓)·4居室-05卧,4室1厅,朝南,20㎡,6/13,小区距芦恒路站步行约335米,板楼,2730
自如友家·新梅广场·4居室-05卧,4室1厅,朝南,11.3㎡,4/12,小区距外环路站步行约436米,未知,2430
自如友家·金汇花园一街坊·4居室-02卧,4室1厅,朝南,11.82㎡,6/6,小区距龙柏新村站步行约679米,1995,2430
自如友家·共康七村·3居室-01卧,3室1厅,朝南,13㎡,3/6,小区距通河新村站步行约743米,未知,2330
自如友家·金地格林世界(卢尔公寓)·4居室-03卧,4室1厅,朝南,11.1㎡,14/18,小区距南翔站步行约683米,未知,2590
自如友家·培育苑·3居室-01卧,3室1厅,朝南,12.1㎡,3/7,小区距龙阳路站步行约871米,1996,2760
自如友家·吉浦路615弄·3居室-02卧,3室1厅,朝南,10.46㎡,2/7,小区距殷高西路站步行约1154米,1996,2660
自如友家·浣纱六村·4居室-02卧,4室1厅,朝南,13.2㎡,3/6,小区距黄兴公园站步行约364米,1996,2590
自如友家·泰宸苑·3居室-01卧,3室1厅,朝南,14.1㎡,4/7,小区距祁连山南路站步行约653米,未知,2430
自如友家·闻喜路1223弄·2居室-02卧,2室1厅,朝南,12.52㎡,6/6,小区距彭浦新村站步行约779米,板楼,2490
自如友家·小富人家·3居室-03卧,3室1厅,朝南,12.48㎡,4/6,小区距春申路站步行约522米,未知,2230
自如友家·蓝城小区·3居室-01卧,3室1厅,朝南,11.2㎡,3/6,小区距博兴路站步行约639米,未知,2530
自如友家·爱建新家园·4居室-01卧,4室1厅,朝南,12㎡,5/5,小区距彭浦新村站步行约1106米,未知,2190
自如友家·田图苑·4居室-05卧,4室1厅,朝南,12.6㎡,3/5,小区距虹桥1号航站楼站步行约1527米,板楼,2490
自如友家·正南花苑·3居室-03卧,3室1厅,朝南,10.8㎡,6/6,小区距上海南站站步行约577米,未知,2790
自如友家·金沙雅苑(四期)·3居室-03卧,3室1厅,朝南,13.84㎡,7/11,小区距祁连山南路站步行约87米,板楼,3030
自如友家·家旺新苑·3居室-01卧,3室1厅,朝南,12.6㎡,4/6,小区距祁连山南路站步行约1513米,板楼,2390
自如友家·连城新苑·4居室-05卧,4室1厅,朝南,14.3㎡,14/14,小区距东靖路站步行约923米,未知,2290
自如友家·芳华小区·3居室-03卧,3室1厅,朝南,12㎡,2/3,小区距芳华路站步行约769米,板楼,2690
自如友家·汇丰佳苑·4居室-03卧,4室1厅,朝南,14㎡,6/6,小区距丰庄站步行约1309米,板楼,2590
自如友家·莘梓苑·4居室-02卧,4室1厅,朝南,10.49㎡,3/5,小区距莘庄站步行约281米,板楼,2290
自如友家·阳明国际花苑·3居室-01卧,3室1厅,朝南,14.52㎡,2/9,小区距莘庄站步行约1471米,板楼,2330
自如友家·悠雅曹杨·3居室-03卧,3室1厅,朝南,12.6㎡,2/8,小区距上海西站站步行约1019米,板楼,2660
自如友家·申城佳苑·4居室-01卧,4室1厅,朝南,14.5㎡,5/6,小区距张江路站步行约1124米,板楼,2690
自如友家·邮电新村·3居室-02卧,3室1厅,朝南,10.5㎡,5/6,小区距邮电新村站步行约225米,1985,2890
自如友家·凯旋一村·2居室-02卧,2室1厅,朝南,11.6㎡,4/6,小区距虹桥路站步行约497米,1990,3360
自如友家·临沂七村·3居室-01卧,3室1厅,朝南,14.8㎡,5/6,小区距临沂新村站步行约608米,未知,2860
自如友家·美丽星城·4居室-01卧,4室1厅,朝南,12㎡,1/12,小区距九亭站步行约1009米,2004,2390
